Date         0    Lo30   Med40    Hi30    Lo20    Qnt2    Qnt3    Qnt4    Hi20    Lo10    Dec2    Dec3    Dec4    Dec5    Dec6    Dec7    Dec8    Dec9    Hi10
193203  -99.99  -11.76   -9.63  -10.84  -11.87  -10.17  -11.93   -9.44  -10.87  -10.03  -12.40  -11.68   -9.30  -12.95  -11.30   -7.65  -10.49  -10.06  -11.01
193204  -99.99  -19.70  -13.87  -17.79  -19.31  -16.69  -15.60  -14.16  -17.96  -17.40  -19.88  -19.95  -14.87  -18.06  -14.12  -12.18  -15.36  -16.79  -18.15
193205  -99.99  -16.44  -21.24  -20.35  -10.61  -17.96  -25.15  -18.82  -20.46  -10.39  -10.68  -20.21  -16.84  -26.40  -24.44  -18.99  -18.71  -22.13  -20.17
193206  -99.99    2.52    2.08   -1.05   -3.20    1.77    5.39    1.70   -1.30   -1.54   -3.74    6.66   -0.53    4.59    5.83    0.14    2.68    0.54   -1.62
193207  -99.99   51.87   38.55   32.93   44.01   48.36   43.26   39.72   32.30   51.47   41.57   57.28   43.30   39.85   45.57   33.11   43.25   38.16   31.34
193208  -99.99   81.75   57.30   34.59   94.99   69.18   58.71   52.78   33.42  125.49   84.56   73.45   66.52   57.99   59.17   53.63   52.35   44.34   31.54
193209  -99.99  -12.43   -5.76   -2.68  -11.91   -9.46   -7.32   -5.70   -2.38  -17.18   -9.71  -12.81   -7.31   -5.51   -8.49   -3.75   -6.68   -1.97   -2.45
193210  -99.99  -20.64  -19.98  -12.42  -20.31  -21.04  -20.89  -17.72  -12.08  -21.42  -19.88  -20.88  -21.14  -20.19  -21.36  -18.79  -17.17  -15.43  -11.44
193211  -99.99  -10.51   -8.72   -5.30   -8.97  -10.99   -8.09   -7.78   -5.17  -12.02   -7.83  -11.62  -10.61   -7.29   -8.63   -8.86   -7.24   -6.63   -4.90
193212  -99.99  -10.41   -2.94    5.01  -14.83   -8.22   -1.90    0.99    5.16  -10.83  -16.31   -7.24   -8.81   -4.70    0.03   -2.50    2.73    2.59    5.62
193301  -99.99    1.74    2.41    1.30    0.52    4.87    4.20    3.46    1.04   -3.76    2.21    2.55    6.29    4.03    4.31   -0.25    5.21    2.00    0.87
193302  -99.99  -19.73  -17.28  -15.01  -16.26  -20.31  -18.81  -15.04  -15.01  -18.81  -15.32  -21.97  -19.32  -18.11  -19.26  -15.20  -14.97  -17.78  -14.52
193303  -99.99   13.23   10.41    2.77    9.91   13.61    7.62   11.35    2.23    9.54   10.05   15.53   12.49    7.67    7.59   12.67   10.76    4.51    1.84
193304  -99.99   51.09   54.54   36.72   50.77   52.13   55.98   49.66   35.90   49.62   51.17   51.31   52.62   53.26   57.78   53.64   47.87   46.57   34.03
193305  -99.99   85.54   45.57   18.71   98.65   69.27   48.32   32.67   17.81  107.37   95.53   76.99   64.70   56.61   42.99   38.50   29.93   22.07   16.99
193306  -99.99   27.81   16.97   12.56   29.04   20.16   20.56   14.24   12.39   30.92   28.33   26.91   15.90   23.18   18.75   13.62   14.56   15.38   11.79
193307  -99.99   -5.56  -11.52   -9.42   -5.34   -9.32  -14.77  -11.06   -9.16   -3.27   -6.23   -5.73  -11.52  -13.76  -15.44   -8.45  -12.53  -10.04   -8.98
193308  -99.99    5.05   13.95   11.98    4.38    7.84   14.39   16.15   11.58    0.79    5.97    5.59    9.32   12.86   15.41   14.70   17.00   13.91   11.10
193309  -99.99  -17.23  -14.73  -10.01  -18.42  -16.98  -15.09  -12.36   -9.88  -18.83  -18.25  -16.27  -17.43  -12.91  -16.52  -13.79  -11.54   -9.80   -9.90
193310  -99.99  -12.49  -10.08   -8.00  -12.52  -12.05  -12.23   -9.30   -7.82   -9.01  -13.98  -12.46  -11.79  -12.25  -12.22   -7.84  -10.11   -7.17   -7.96
193311  -99.99    4.13    7.19   10.28    5.84    4.63    7.32    8.32   10.40    1.51    7.75    2.77    5.82    4.54    9.22    7.38    8.86    8.02   10.90
193312  -99.99    2.22    2.57    1.74   -1.41    3.53    4.61    1.89    1.69   -4.49   -0.13    5.18    2.50    2.14    6.22    0.91    2.45    2.20    1.58
193401  -99.99   36.64   25.02   11.34   43.17   34.05   26.88   17.78   10.98   46.73   41.75   31.68   35.56   25.13   27.97   21.20   15.87   13.81   10.39
193402  -99.99    5.80   -0.27   -2.71    8.84    1.70    1.98   -1.65   -2.85    9.38    8.61    3.29    0.71   -0.84    3.70   -2.51   -1.14   -2.86   -2.84
193403  -99.99    1.38    0.78   -0.10    1.29    1.20    0.66    1.01   -0.21    1.51    1.19    1.45    1.04    1.83   -0.03    0.82    1.12    1.02   -0.47
193404  -99.99    1.60   -2.41   -1.84    3.20   -0.67   -2.41   -1.98   -1.87    1.67    3.84    0.22   -1.24   -2.36   -2.43   -2.71   -1.56   -0.54   -2.16
193405  -99.99  -12.10  -10.03   -6.73  -14.36  -10.17   -9.75   -8.59   -6.65  -14.54  -14.28  -10.07  -10.24   -9.61   -9.83  -10.23   -7.66   -7.92   -6.37
193406  -99.99   -1.97    0.98    2.85   -1.34   -2.14    1.59    3.37    2.70   -4.15   -0.19   -2.50   -1.91    1.74    1.50    1.14    4.61    3.10    2.62
193407  -99.99  -24.11  -17.99  -10.09  -24.55  -23.25  -18.61  -15.46   -9.67  -20.97  -25.81  -23.78  -22.91  -19.71  -17.92  -16.31  -14.98  -13.78   -8.79
193408  -99.99   12.73    8.47    5.30   11.20   10.95    8.97    7.14    5.19    5.65   13.29   13.88    9.12   10.40    8.10    7.89    6.72    5.83    5.06
193409  -99.99   -2.72   -0.13   -0.05   -2.87   -2.10   -1.07   -0.08    0.00   -3.91   -2.50   -2.60   -1.77   -1.21   -0.98    1.07   -0.73   -1.22    0.26
193410  -99.99   -1.30   -1.61   -1.72   -0.89   -2.14   -2.36   -1.38   -1.72   -3.74    0.07   -1.61   -2.48   -1.97   -2.59   -0.78   -1.72   -0.74   -1.92
193411  -99.99   15.46   12.88    8.03   16.20   14.62   12.49   12.54    7.68   11.58   17.69   14.90   14.45   13.79   11.69   12.90   12.32    8.66    7.48
193412  -99.99    3.02    2.70    0.12    2.13    2.82    2.41    2.16   -0.01    4.17    1.51    3.70    2.26    2.39    2.43    3.03    1.65    0.72   -0.16
193501  -99.99   -4.15   -3.79   -3.35   -4.13   -3.69   -3.62   -4.54   -3.23   -2.72   -4.56   -4.17   -3.39   -4.86   -2.85   -4.02   -4.86   -4.73   -2.91
193502  -99.99   -7.54   -3.45   -1.67   -9.49   -5.60   -3.92   -1.94   -1.69  -14.50   -7.91   -6.07   -5.30   -3.11   -4.42   -2.66   -1.50   -1.68   -1.69
193503  -99.99  -11.57   -6.65   -3.23  -11.49   -9.20   -7.36   -4.89   -3.14  -11.27  -11.55  -11.63   -7.67   -6.90   -7.65   -5.84   -4.32   -5.30   -2.70
193504  -99.99   10.80    7.56    9.04   11.01   10.35    8.69    6.47    9.24    9.53   11.44   10.66   10.16    7.30    9.56    6.08    6.70   10.55    8.97
193505  -99.99    1.20    0.99    3.75    1.11    2.73    1.10    1.53    3.88    0.32    1.33    1.27    3.61    0.51    1.46    0.36    2.22    4.25    3.81
193506  -99.99    2.54    5.92    5.97    0.72    4.78    5.11    6.23    5.97   -3.85    2.02    3.87    5.32    1.88    7.07    6.76    5.93    7.13    5.73
193507  -99.99   14.75    9.98    7.21   15.60   16.05   11.08    7.36    7.21   16.90   15.18   14.20   17.12   10.59   11.37    7.47    7.29    7.73    7.10
193508  -99.99   13.97    5.18    2.24   15.59   10.61    6.69    2.65    2.21   17.24   15.04   12.91    9.31    7.43    6.24    2.79    2.57    3.31    1.99
193509  -99.99    2.06    2.64    2.62    0.90    3.65    2.71    2.30    2.64    1.45    0.71    2.83    4.14    5.11    1.23    2.22    2.34    3.05    2.56
193510  -99.99   10.50    7.81    6.85    8.79   10.02    9.84    7.11    6.75    4.44   10.29   11.60    9.09    9.35   10.16    5.48    8.06    9.18    6.26
193511  -99.99   21.49    8.17    4.41   29.38   12.06    8.97    5.43    4.40   35.50   27.38   16.52    9.39    9.25    8.80    7.03    4.52    5.64    4.14
193512  -99.99    4.97    7.96    4.19    3.16    7.49    8.88    6.72    3.99    2.43    3.41    6.22    8.30    6.05   10.70    6.88    6.62    4.38    3.91
193601  -99.99   20.74   10.50    6.22   25.65   15.20   10.75    6.61    6.32   43.32   19.64   17.40   13.82    9.73   11.37    9.36    5.02    9.19    5.71
193602  -99.99    6.70    3.59    2.41    9.04    5.04    3.88    3.91    2.23    3.44   11.31    5.01    5.05    6.18    2.49    2.86    4.55    4.28    1.78
193603  -99.99    1.78    2.41    0.86    1.76    0.83    4.31   -0.27    1.01    0.35    2.30    1.78    0.21    1.60    6.01    0.91   -0.98    0.28    1.18
193604  -99.99  -17.28  -11.18   -7.37  -18.45  -16.50  -11.06   -9.90   -7.16  -24.14  -16.35  -16.41  -16.56  -10.97  -11.11   -9.84   -9.94  -10.31   -6.46
193605  -99.99    4.92    5.51    5.18    6.71    6.07    6.08    3.99    5.29    5.52    7.12    3.60    7.71    6.93    5.57    4.29    3.81    5.00    5.35
193606  -99.99   -1.67    0.24    2.80   -1.87   -1.18    0.37   -0.17    3.06   -2.82   -1.56   -1.52   -0.96    0.63    0.20    0.42   -0.54    1.89    3.31
193607  -99.99    8.31    9.00    6.40    9.15    9.36    9.01    8.22    6.28    8.37    9.42    7.72   10.40    9.44    8.72    8.59    7.99    5.72    6.40
193608  -99.99    1.76    2.87    0.79    2.78    2.19    2.61    2.35    0.71    2.58    2.85    1.03    2.91    2.27    2.84    3.15    1.85    1.25    0.60
193609  -99.99    4.09    2.91    0.82    5.40    3.24    3.72    2.27    0.69    6.17    5.14    3.13    3.31    4.68    3.07    1.88    2.51    2.22    0.38
193610  -99.99    6.26    5.50    7.48    7.22    6.37    5.35    6.66    7.48    5.07    7.96    5.56    6.86    4.83    5.72    5.27    7.54    5.92    7.80
193611  -99.99   12.42    7.44    2.69   14.44   10.92    8.83    5.48    2.44   26.63   10.37   10.91   10.93    9.67    8.26    4.83    5.88    3.00    2.32
193612  -99.99    3.09    3.16   -0.19    2.17    5.09    2.64    1.92   -0.31    6.10    0.67    3.79    5.87    3.18    2.25    2.93    1.31    0.51   -0.48
193701  -99.99   11.17    6.22    2.89   12.48    8.37    7.12    4.58    2.76   17.76   10.38   10.17    7.30    7.92    6.54    4.81    4.43    2.65    2.78
193702  -99.99    4.26    2.83    0.90    6.69    2.57    2.50    2.61    0.79    5.62    7.14    2.36    2.70    3.80    1.55    3.28    2.20    1.91    0.57
193703  -99.99   -0.57    0.60   -0.42    2.16   -0.71    0.02    1.34   -0.57    0.21    2.98   -2.89    0.57    0.09   -0.04    1.31    1.37    0.73   -0.84
193704  -99.99  -13.96   -9.17   -6.96  -17.01  -12.03   -8.64   -9.45   -6.71  -16.44  -17.24  -11.22  -12.49   -9.20   -8.23   -8.71   -9.91   -6.75   -6.70
193705  -99.99   -3.63   -1.94   -0.51   -3.35   -2.01   -2.41   -1.60   -0.42   -4.17   -3.01   -3.86   -0.96   -1.34   -3.18   -1.70   -1.54   -2.82    0.07
193706  -99.99  -10.68   -6.70   -3.74  -11.95   -8.17   -6.86   -5.90   -3.59  -13.40  -11.35   -9.61   -7.38   -7.57   -6.33   -6.30   -5.64   -4.22   -3.46
193707  -99.99   10.47    9.35    8.78   12.06    9.43    9.62    8.43    8.83   13.36   11.61    9.17    9.59   10.42    9.04    8.96    8.11    9.64    8.66
193708  -99.99   -5.76   -5.06   -4.88   -6.79   -5.10   -5.22   -4.50   -4.92  -10.09   -5.61   -4.90   -5.22   -4.88   -5.47   -4.81   -4.30   -4.57   -5.00
193709  -99.99  -22.86  -20.00  -12.63  -23.70  -21.41  -20.31  -17.53  -12.33  -22.88  -23.98  -22.16  -20.97  -20.34  -20.28  -19.35  -16.41  -15.87  -11.59
193710  -99.99  -10.22  -10.96   -9.41   -8.82  -10.89  -11.28   -9.47   -9.46   -9.73   -8.51  -11.36  -10.61  -10.79  -11.64  -10.69   -8.74  -10.10   -9.33
193711  -99.99  -13.04  -10.51   -7.92  -13.74  -12.00   -9.99   -9.67   -7.84  -13.10  -13.96  -12.46  -11.74  -11.65   -8.76  -10.73   -9.06   -8.00   -7.81
193712  -99.99  -13.98  -10.65   -3.45  -14.49  -12.38  -11.13   -6.77   -3.33  -14.38  -14.52  -13.57  -11.69  -11.46  -10.89   -9.77   -5.06   -4.95   -3.01
193801  -99.99    6.25    3.40    0.12    6.52    5.04    4.22    2.25   -0.04    5.16    6.99    6.02    4.47    5.84    3.07    2.15    2.30   -0.69    0.08
193802  -99.99    4.55    6.43    5.78    1.93    6.53    6.52    6.00    5.78   -0.16    2.65    6.71    6.43    6.66    6.41    6.33    5.83    9.61    5.04
193803  -99.99  -29.97  -27.25  -23.30  -32.10  -28.41  -27.35  -24.63  -23.28  -30.07  -32.78  -28.27  -28.49  -29.30  -25.93  -26.77  -23.47  -24.40  -23.06
193804  -99.99   21.57   17.87   13.77   22.95   19.06   18.92   16.35   13.59   17.86   24.75   20.55   18.18   21.04   17.45   16.58   16.23   15.55   13.20
193805  -99.99   -7.84   -6.58   -3.54   -8.36   -6.46   -6.23   -5.41   -3.47   -8.38   -8.35   -7.44   -5.88   -6.72   -5.88   -7.20   -4.47   -4.84   -3.19
193806  -99.99   28.35   29.42   23.42   31.31   28.09   29.80   25.54   23.39   27.72   32.50   26.13   29.23   31.11   28.88   29.01   23.76   25.68   22.94
193807  -99.99   16.07   12.33    6.73   15.72   14.82   11.90   11.55    6.43   16.51   15.46   16.33   13.88   13.24   10.94   12.35   11.09    7.23    6.27
193808  -99.99   -8.68   -5.24   -2.32   -9.77   -6.54   -4.83   -4.81   -2.17  -12.67   -8.85   -7.89   -5.69   -5.57   -4.29   -5.57   -4.37   -3.68   -1.86
193809  -99.99   -3.26   -1.49    1.11   -4.14   -2.49   -1.88   -0.92    1.26   -5.14   -3.83   -2.63   -2.40   -2.50   -1.44   -0.75   -1.01    0.45    1.42
193810  -99.99   18.33   13.54    7.09   15.20   17.38   13.52   12.32    6.75   20.68   13.56   20.49   15.45   14.24   13.01   12.97   11.95   10.65    5.99
193811  -99.99   -5.43   -3.19   -1.52   -6.04   -5.35   -2.23   -1.98   -1.55   -6.89   -5.77   -5.02   -5.56   -2.71   -1.89   -3.53   -1.08   -2.34   -1.39
193812  -99.99    1.42    5.21    4.04   -1.34    4.50    5.28    5.32    3.94   -6.08    0.14    3.22    5.32    4.56    5.81    5.09    5.45    4.70    3.79
193901  -99.99   -9.86   -8.18   -5.65   -8.54   -9.41   -8.58   -7.80   -5.48   -5.86   -9.33  -10.69   -8.60   -9.27   -8.09   -7.58   -7.92   -8.06   -4.95
193902  -99.99    4.14    5.14    3.31    3.78    4.30    5.45    4.28    3.27   -0.16    4.98    4.38    4.26    6.00    5.06    5.07    3.83    4.61    3.00
193903  -99.99  -21.09  -19.15  -11.03  -20.58  -20.31  -17.93  -17.77  -10.65  -20.10  -20.72  -21.42  -19.62  -19.58  -16.76  -20.40  -16.25  -15.87   -9.61
193904  -99.99    1.45   -0.27   -0.33    1.21    0.93   -0.44   -0.08   -0.35   -0.10    1.59    1.61    0.53   -0.37   -0.48   -0.32    0.05   -0.50   -0.32
193905  -99.99    8.73   10.13    6.47    6.35    9.81   10.11    9.39    6.30    5.07    6.71   10.27    9.53   10.27   10.00   10.34    8.86    7.97    5.99
193906  -99.99   -9.70   -7.89   -5.01  -11.62   -8.66   -7.46   -6.96   -4.92   -9.60  -12.18   -8.50   -8.76   -7.99   -7.09   -8.13   -6.31   -7.72   -4.39
